gene_id,gene_symbol,id_type
LOC120101332,LOC120101332,symbol
ENSRNOG00000064316,,ensembl
LOC120101249,LOC120101249,symbol
Mir124-2,Mir124-2,symbol
Bhlhe22,Bhlhe22,symbol
Cyp7b1,Cyp7b1,symbol
LOC100361143,LOC100361143,symbol
ENSRNOG00000063581,,ensembl
ENSRNOG00000066523,,ensembl
LOC120101264,LOC120101264,symbol
Armc1,Armc1,symbol
Mtfr1,Mtfr1,symbol
Pde7a,Pde7a,symbol
ENSRNOG00000065909,,ensembl
AABR07009572.1,AABR07009572.1,symbol
Dnajc5b,Dnajc5b,symbol
ENSRNOG00000062530,,ensembl
ENSRNOG00000069279,,ensembl
Trim55,Trim55,symbol
Crh,Crh,symbol
ENSRNOG00000064644,,ensembl
Rnu6-767,Rnu6-767,symbol
ENSRNOG00000069706,,ensembl
Cp,Cp,symbol
Hps3,Hps3,symbol
Hltf,Hltf,symbol
Gyg1,Gyg1,symbol
ENSRNOG00000068500,,ensembl
Eif4g1-ps1,Eif4g1-ps1,symbol
Cpa3,Cpa3,symbol
Cpb1,Cpb1,symbol
Agtr1b,Agtr1b,symbol
ENSRNOG00000070560,,ensembl
LOC120101114,LOC120101114,symbol
AABR07009634.1,AABR07009634.1,symbol
AABR07009634.2,AABR07009634.2,symbol
LOC120100783,LOC120100783,symbol
LOC120101269,LOC120101269,symbol
LOC120100784,LOC120100784,symbol
ENSRNOG00000067565,,ensembl
Tbl1xr1,Tbl1xr1,symbol
LOC120101351,LOC120101351,symbol
LOC120101398,LOC120101398,symbol
Naaladl2,Naaladl2,symbol
ENSRNOG00000033028,,ensembl
LOC120101275,LOC120101275,symbol
Nlgn1,Nlgn1,symbol
LOC120101250,LOC120101250,symbol
ENSRNOG00000065504,,ensembl
LOC120101266,LOC120101266,symbol
Spata16,Spata16,symbol
LOC120101388,LOC120101388,symbol
Ect2,Ect2,symbol
LOC120101329,LOC120101329,symbol
Nceh1,Nceh1,symbol
ENSRNOG00000070625,,ensembl
Tnfsf10,Tnfsf10,symbol
Ghsr,Ghsr,symbol
Fndc3b,Fndc3b,symbol
Tmem212,Tmem212,symbol
ENSRNOG00000067235,,ensembl
Pld1,Pld1,symbol
Tnik,Tnik,symbol
Slc2a2,Slc2a2,symbol
Eif5a2,Eif5a2,symbol
Rpl22l1,Rpl22l1,symbol
Slc7a14,Slc7a14,symbol
LOC120101379,LOC120101379,symbol
Cldn11,Cldn11,symbol
Skil,Skil,symbol
Prkci,Prkci,symbol
Phc3,Phc3,symbol
Gpr160,Gpr160,symbol
Sec62,Sec62,symbol
Samd7,Samd7,symbol
Lrrc31,Lrrc31,symbol
Lrriq4,Lrriq4,symbol
Lrrc34,Lrrc34,symbol
Mynn,Mynn,symbol
Actrt3,Actrt3,symbol
LOC120101297,LOC120101297,symbol
Mecom,Mecom,symbol
Egfem1,Egfem1,symbol
Mir551b,Mir551b,symbol
Kcnmb2,Kcnmb2,symbol
LOC120101259,LOC120101259,symbol
Zmat3,Zmat3,symbol
Pik3ca,Pik3ca,symbol
Kcnmb3,Kcnmb3,symbol
Zfp639,Zfp639,symbol
Mfn1,Mfn1,symbol
Gnb4,Gnb4,symbol
LOC120101270,LOC120101270,symbol
Actl6a,Actl6a,symbol
Mrpl47,Mrpl47,symbol
Ndufb5,Ndufb5,symbol
AABR07009978.1,AABR07009978.1,symbol
LOC120101231,LOC120101231,symbol
Usp13,Usp13,symbol
Pex5l,Pex5l,symbol
LOC120101273,LOC120101273,symbol
Ttc14,Ttc14,symbol
Ccdc39,Ccdc39,symbol
LOC120101341,LOC120101341,symbol
Fxr1,Fxr1,symbol
Dnajc19,Dnajc19,symbol
ENSRNOG00000068287,,ensembl
Sox2,Sox2,symbol
LOC103691527,LOC103691527,symbol
Rnu6-1158,Rnu6-1158,symbol
Atp11b,Atp11b,symbol
Dcun1d1,Dcun1d1,symbol
Mccc1,Mccc1,symbol
Ccdc144b,Ccdc144b,symbol
ENSRNOG00000065565,,ensembl
Acad9,Acad9,symbol
Zfp267,Zfp267,symbol
ENSRNOG00000066024,,ensembl
Arsl,Arsl,symbol
Qrfpr,Qrfpr,symbol
Anxa5,Anxa5,symbol
Smim43,Smim43,symbol
Exosc9,Exosc9,symbol
Ccna2,Ccna2,symbol
Bbs7,Bbs7,symbol
Trpc3,Trpc3,symbol
Bltp1,Bltp1,symbol
Adad1,Adad1,symbol
Il2,Il2,symbol
Il21,Il21,symbol
Cetn4,Cetn4,symbol
Bbs12,Bbs12,symbol
Fgf2,Fgf2,symbol
Nudt6,Nudt6,symbol
Spata5,Spata5,symbol
LOC120101257,LOC120101257,symbol
Spry1,Spry1,symbol
LOC120101158,LOC120101158,symbol
LOC120101292,LOC120101292,symbol
ENSRNOG00000070892,,ensembl
ENSRNOG00000070333,,ensembl
ENSRNOG00000067850,,ensembl
LOC120101309,LOC120101309,symbol
ENSRNOG00000062674,,ensembl
Ankrd50,Ankrd50,symbol
Fat4,Fat4,symbol
ENSRNOG00000068650,,ensembl
LOC120101387,LOC120101387,symbol
LOC120101334,LOC120101334,symbol
Intu,Intu,symbol
Slc25a31,Slc25a31,symbol
Hspa4l,Hspa4l,symbol
Plk4,Plk4,symbol
Mfsd8,Mfsd8,symbol
Abhd18,Abhd18,symbol
Fundc2b,Fundc2b,symbol
Larp1b,Larp1b,symbol
RGD1565989,RGD1565989,symbol
Pgrmc2,Pgrmc2,symbol
LOC120101226,LOC120101226,symbol
Jade1,Jade1,symbol
Sclt1,Sclt1,symbol
C2h4orf33,C2h4orf33,symbol
ENSRNOG00000066724,,ensembl
Riox2-ps6,Riox2-ps6,symbol
Pcdh10,Pcdh10,symbol
LOC120101285,LOC120101285,symbol
Pabpc4l,Pabpc4l,symbol
LOC120101396,LOC120101396,symbol
LOC120101335,LOC120101335,symbol
LOC120101267,LOC120101267,symbol
LOC100365525,LOC100365525,symbol
RGD1563562,RGD1563562,symbol
LOC103691539,LOC103691539,symbol
LOC678817,LOC678817,symbol
ENSRNOG00000064254,,ensembl
LOC691033,LOC691033,symbol
LOC120101107,LOC120101107,symbol
LOC499607,LOC499607,symbol
AABR07010524.1,AABR07010524.1,symbol
RGD1307595,RGD1307595,symbol
ENSRNOG00000066263,,ensembl
ENSRNOG00000065748,,ensembl
LOC120100814,LOC120100814,symbol
LOC365791,LOC365791,symbol
LOC102550446,LOC102550446,symbol
LOC120093152,LOC120093152,symbol
LOC120100815,LOC120100815,symbol
Pcdh18,Pcdh18,symbol
Slc7a11,Slc7a11,symbol
LOC120101127,LOC120101127,symbol
LOC120101306,LOC120101306,symbol
Noct,Noct,symbol
Elf2,Elf2,symbol
Mgarp,Mgarp,symbol
Ndufc1,Ndufc1,symbol
Naa15,Naa15,symbol
Rab33b,Rab33b,symbol
Setd7,Setd7,symbol
Mgst2,Mgst2,symbol
Maml3,Maml3,symbol
ENSRNOG00000068600,,ensembl
Foxo1,Foxo1,symbol
ENSRNOG00000070241,,ensembl
Cog6,Cog6,symbol
Lhfpl6,Lhfpl6,symbol
Nhlrc3,Nhlrc3,symbol
Nhlrc3,Nhlrc3,symbol
Proser1,Proser1,symbol
Stoml3,Stoml3,symbol
LOC120101356,LOC120101356,symbol
Frem2,Frem2,symbol
Ufm1,Ufm1,symbol
Ufm1,Ufm1,symbol
Trpc4,Trpc4,symbol
Postn,Postn,symbol
Dusp14l1,Dusp14l1,symbol
Rexo1l1-ps1,Rexo1l1-ps1,symbol
Supt20h,Supt20h,symbol
ENSRNOG00000069289,,ensembl
Exosc8,Exosc8,symbol
Alg5,Alg5,symbol
Smad9,Smad9,symbol
Rfxap,Rfxap,symbol
Sertm1,Sertm1,symbol
Ccna1,Ccna1,symbol
ENSRNOG00000069285,,ensembl
ENSRNOG00000064365,,ensembl
Spart,Spart,symbol
Ccdc169,Ccdc169,symbol
Sohlh2,Sohlh2,symbol
LOC120101148,LOC120101148,symbol
Dclk1,Dclk1,symbol
LOC102552324,LOC102552324,symbol
ENSRNOG00000070468,,ensembl
Nbea,Nbea,symbol
Mab21l1,Mab21l1,symbol
LOC120101340,LOC120101340,symbol
LOC120101343,LOC120101343,symbol
Eif3i-ps1,Eif3i-ps1,symbol
Tm4sf1,Tm4sf1,symbol
Tm4sf4,Tm4sf4,symbol
AC129365.1,AC129365.1,symbol
LOC120101218,LOC120101218,symbol
Wwtr1,Wwtr1,symbol
Rpl12-ps2,Rpl12-ps2,symbol
Commd2,Commd2,symbol
Ankub1,Ankub1,symbol
Rnf13,Rnf13,symbol
Pfn2,Pfn2,symbol
AABR07010705.1,AABR07010705.1,symbol
Metazoa_SRP,Metazoa_SRP,symbol
LOC120101116,LOC120101116,symbol
Tsc22d2,Tsc22d2,symbol
Serp1,Serp1,symbol
Eif2a,Eif2a,symbol
Selenot,Selenot,symbol
AC112531.1,AC112531.1,symbol
Erich6,Erich6,symbol
ENSRNOG00000065725,,ensembl
Siah2,Siah2,symbol
Mindy4b,Mindy4b,symbol
Clrn1,Clrn1,symbol
Med12l,Med12l,symbol
Gpr171,Gpr171,symbol
P2ry14,P2ry14,symbol
Gpr87,Gpr87,symbol
P2ry13,P2ry13,symbol
P2ry12,P2ry12,symbol
Igsf10,Igsf10,symbol
RGD1559622,RGD1559622,symbol
RGD1561998,RGD1561998,symbol
Aadacl2fm3,Aadacl2fm3,symbol
RGD1560162,RGD1560162,symbol
Aadac,Aadac,symbol
Sucnr1,Sucnr1,symbol
Rnu6-173,Rnu6-173,symbol
ENSRNOG00000065517,,ensembl
LOC120101133,LOC120101133,symbol
ENSRNOG00000069031,,ensembl
Mbnl1,Mbnl1,symbol
P2ry1,P2ry1,symbol
AABR07010787.1,AABR07010787.1,symbol
Rap2b,Rap2b,symbol
ENSRNOG00000068490,,ensembl
ENSRNOG00000066767,,ensembl
LOC120101261,LOC120101261,symbol
Arhgef26,Arhgef26,symbol
Dhx36,Dhx36,symbol
Gpr149,Gpr149,symbol
Rnu6-1286,Rnu6-1286,symbol
LOC120101364,LOC120101364,symbol
LOC120101244,LOC120101244,symbol
Mme,Mme,symbol
ENSRNOG00000068643,,ensembl
Strit1,Strit1,symbol
LOC120101207,LOC120101207,symbol
Plch1,Plch1,symbol
C2h3orf33,C2h3orf33,symbol
Slc33a1,Slc33a1,symbol
Gmps,Gmps,symbol
ENSRNOG00000069542,,ensembl
Vom2r44,Vom2r44,symbol
Vom2r45,Vom2r45,symbol
Vom2r46,Vom2r46,symbol
ENSRNOG00000064787,,ensembl
ENSRNOG00000067311,,ensembl
LOC120100835,LOC120100835,symbol
AABR07010333.1,AABR07010333.1,symbol
Vom2r47,Vom2r47,symbol
LOC120101227,LOC120101227,symbol
LOC120101228,LOC120101228,symbol
LOC120101314,LOC120101314,symbol
LOC120101291,LOC120101291,symbol
Kcnab1,Kcnab1,symbol
LOC120101165,LOC120101165,symbol
Ssr3,Ssr3,symbol
LOC102554278,LOC102554278,symbol
LOC120101210,LOC120101210,symbol
Tiparp,Tiparp,symbol
Lekr1,Lekr1,symbol
Ccnl1,Ccnl1,symbol
ENSRNOG00000067397,,ensembl
AC119603.1,AC119603.1,symbol
Veph1,Veph1,symbol
ENSRNOG00000069471,,ensembl
Ptx3,Ptx3,symbol
Shox2,Shox2,symbol
Rsrc1,Rsrc1,symbol
LOC120101246,LOC120101246,symbol
Mlf1,Mlf1,symbol
Gfm1,Gfm1,symbol
Lxn,Lxn,symbol
Rarres1,Rarres1,symbol
LOC120101350,LOC120101350,symbol
Mfsd1,Mfsd1,symbol
ENSRNOG00000066920,,ensembl
Schip1,Schip1,symbol
Il12a,Il12a,symbol
AABR07011672.1,AABR07011672.1,symbol
LOC100362176,LOC100362176,symbol
Ift80,Ift80,symbol
Smc4,Smc4,symbol
Mir15b,Mir15b,symbol
Mir16,Mir16,symbol
Trim59,Trim59,symbol
Kpna4,Kpna4,symbol
LOC120101376,LOC120101376,symbol
LOC120100841,LOC120100841,symbol
Arl14,Arl14,symbol
ENSRNOG00000065363,,ensembl
Ppm1l,Ppm1l,symbol
B3galnt1,B3galnt1,symbol
AABR07011697.1,AABR07011697.1,symbol
AABR07011698.1,AABR07011698.1,symbol
RGD1563620,RGD1563620,symbol
Nmd3,Nmd3,symbol
Sptssb,Sptssb,symbol
LOC120101308,LOC120101308,symbol
LOC120101287,LOC120101287,symbol
Otol1,Otol1,symbol
ENSRNOG00000065310,,ensembl
LOC120101295,LOC120101295,symbol
AABR07011744.1,AABR07011744.1,symbol
ENSRNOG00000063890,,ensembl
ENSRNOG00000066566,,ensembl
LOC120101151,LOC120101151,symbol
Si,Si,symbol
Slitrk3,Slitrk3,symbol
LOC120101359,LOC120101359,symbol
LOC120101213,LOC120101213,symbol
LOC120101104,LOC120101104,symbol
Bche,Bche,symbol
LOC120101112,LOC120101112,symbol
LOC120101119,LOC120101119,symbol
LOC120101354,LOC120101354,symbol
Rnu2-60,Rnu2-60,symbol
Zbbx,Zbbx,symbol
Serpini2,Serpini2,symbol
Wdr49,Wdr49,symbol
Pdcd10,Pdcd10,symbol
Serpini1,Serpini1,symbol
LOC120101338,LOC120101338,symbol
LOC108350036,LOC108350036,symbol
ENSRNOG00000063292,,ensembl
Golim4,Golim4,symbol
Fstl5,Fstl5,symbol
ENSRNOG00000063747,,ensembl
LOC120101353,LOC120101353,symbol
LOC120101146,LOC120101146,symbol
LOC120101276,LOC120101276,symbol
Hsc70-ps1,Hsc70-ps1,symbol
LOC100363048,LOC100363048,symbol
LOC120101336,LOC120101336,symbol
ENSRNOG00000066808,,ensembl
Rapgef2,Rapgef2,symbol
ENSRNOG00000070442,,ensembl
LOC120101171,LOC120101171,symbol
LOC499643,LOC499643,symbol
Fnip2,Fnip2,symbol
Ppid,Ppid,symbol
Etfdh,Etfdh,symbol
C2h4orf46,C2h4orf46,symbol
Rxfp1,Rxfp1,symbol
Tmem144,Tmem144,symbol
LOC120101206,LOC120101206,symbol
LOC120101205,LOC120101205,symbol
Gask1b,Gask1b,symbol
Gria2,Gria2,symbol
Mir2985,Mir2985,symbol
LOC120101253,LOC120101253,symbol
Glrb,Glrb,symbol
Pdgfc,Pdgfc,symbol
Rnu7-62,Rnu7-62,symbol
Rnu1-83,Rnu1-83,symbol
ENSRNOG00000066237,,ensembl
LOC120101279,LOC120101279,symbol
Ctso,Ctso,symbol
Tdo2,Tdo2,symbol
Rnu6-492,Rnu6-492,symbol
LOC120101232,LOC120101232,symbol
Asic5,Asic5,symbol
Gucy1b1,Gucy1b1,symbol
LOC120101147,LOC120101147,symbol
Gucy1a1,Gucy1a1,symbol
ENSRNOG00000069812,,ensembl
Map9,Map9,symbol
ENSRNOG00000063783,,ensembl
Npy2r,Npy2r,symbol
ENSRNOG00000067220,,ensembl
Rbm46,Rbm46,symbol
Lrat,Lrat,symbol
ENSRNOG00000063887,,ensembl
Fgg,Fgg,symbol
Fga,Fga,symbol
Fgb,Fgb,symbol
Plrg1,Plrg1,symbol
ENSRNOG00000064106,,ensembl
LOC100909434,LOC100909434,symbol
Sfrp2,Sfrp2,symbol
Tlr2,Tlr2,symbol
Tmem131l,Tmem131l,symbol
Mnd1,Mnd1,symbol
Trim2,Trim2,symbol
Fhdc1,Fhdc1,symbol
ENSRNOG00000066623,,ensembl
Arfip1,Arfip1,symbol
Tigd4,Tigd4,symbol
Tmem154,Tmem154,symbol
Fbxw7,Fbxw7,symbol
Dear,Dear,symbol
AABR07012054.1,AABR07012054.1,symbol
ENSRNOG00000070421,,ensembl
Gatb,Gatb,symbol
Fhip1a,Fhip1a,symbol
Sh3d19,Sh3d19,symbol
Prss48,Prss48,symbol
Rps3a,Rps3a,symbol
Snord73a,Snord73a,symbol
Snord73b,Snord73b,symbol
Lrba,Lrba,symbol
LOC120101357,LOC120101357,symbol
LOC120101394,LOC120101394,symbol
Mab21l2,Mab21l2,symbol
Dclk2,Dclk2,symbol
LOC120101381,LOC120101381,symbol
ENSRNOG00000069177,,ensembl
Cd1d1,Cd1d1,symbol
ENSRNOG00000064959,,ensembl
LOC120101301,LOC120101301,symbol
Kirrel1,Kirrel1,symbol
LOC120101284,LOC120101284,symbol
Fcrl2,Fcrl2,symbol
Elp4-ps1,Elp4-ps1,symbol
Fcrl1,Fcrl1,symbol
Fcrl5,Fcrl5,symbol
Etv3,Etv3,symbol
Etv3l,Etv3l,symbol
AABR07012133.1,AABR07012133.1,symbol
ENSRNOG00000063027,,ensembl
LOC120101281,LOC120101281,symbol
Arhgef11,Arhgef11,symbol
Lrrc71,Lrrc71,symbol
Pear1,Pear1,symbol
Ntrk1,Ntrk1,symbol
Insrr,Insrr,symbol
Sh2d2a,Sh2d2a,symbol
Prcc,Prcc,symbol
Hdgf,Hdgf,symbol
mrpl24,mrpl24,symbol
Mettl25b,Mettl25b,symbol
Isg20l2,Isg20l2,symbol
Crabp2,Crabp2,symbol
Nes,Nes,symbol
Bcan,Bcan,symbol
Hapln2,Hapln2,symbol
ENSRNOG00000067598,,ensembl
Gpatch4,Gpatch4,symbol
Naxe,Naxe,symbol
Ttc24,Ttc24,symbol
Iqgap3,Iqgap3,symbol
ENSRNOG00000064826,,ensembl
Mef2d,Mef2d,symbol
ENSRNOG00000063898,,ensembl
Mir3597-1,Mir3597-1,symbol
Rhbg,Rhbg,symbol
ENSRNOG00000062616,,ensembl
Tsacc,Tsacc,symbol
Cct3,Cct3,symbol
LOC120101251,LOC120101251,symbol
Glmp,Glmp,symbol
Tmem79,Tmem79,symbol
Smg5,Smg5,symbol
Paqr6,Paqr6,symbol
Bglap,Bglap,symbol
Pmf1,Pmf1,symbol
Slc25a44,Slc25a44,symbol
Sema4a,Sema4a,symbol
Lmna,Lmna,symbol
Mex3a,Mex3a,symbol
Rab25,Rab25,symbol
Lamtor2,Lamtor2,symbol
Ubqln4,Ubqln4,symbol
Ssr2,Ssr2,symbol
Arhgef2,Arhgef2,symbol
LOC120101166,LOC120101166,symbol
Khdc4,Khdc4,symbol
LOC120101254,LOC120101254,symbol
Rnu6-632,Rnu6-632,symbol
Rit1,Rit1,symbol
Syt11,Syt11,symbol
Gon4l,Gon4l,symbol
Rnu1-123,Rnu1-123,symbol
Msto1,Msto1,symbol
Dap3,Dap3,symbol
Ash1l,Ash1l,symbol
Fdps,Fdps,symbol
Rnu6-909,Rnu6-909,symbol
Pklr,Pklr,symbol
Hcn3,Hcn3,symbol
Scamp3,Scamp3,symbol
Mir3541,Mir3541,symbol
Entrep3,Entrep3,symbol
LOC102550011,LOC102550011,symbol
Gba,Gba,symbol
Mtx1,Mtx1,symbol
Thbs3,Thbs3,symbol
Mir92b,Mir92b,symbol
Muc1,Muc1,symbol
Trim46,Trim46,symbol
Krtcap2,Krtcap2,symbol
Dpm3,Dpm3,symbol
Slc50a1,Slc50a1,symbol
Efna1,Efna1,symbol
LOC102550325,LOC102550325,symbol
Efna3,Efna3,symbol
Efna4,Efna4,symbol
Adam15,Adam15,symbol
Dcst1,Dcst1,symbol
Dcst2,Dcst2,symbol
Zbtb7b,Zbtb7b,symbol
Flad1,Flad1,symbol
Lenep,Lenep,symbol
Cks1b,Cks1b,symbol
Shc1,Shc1,symbol
Pygo2,Pygo2,symbol
Pbxip1,Pbxip1,symbol
Pmvk,Pmvk,symbol
Kcnn3,Kcnn3,symbol
Adar,Adar,symbol
Chrnb2,Chrnb2,symbol
ENSRNOG00000064711,,ensembl
ENSRNOG00000067315,,ensembl
Ube2q1,Ube2q1,symbol
She,She,symbol
Il6r,Il6r,symbol
Atp8b2,Atp8b2,symbol
Aqp10,Aqp10,symbol
LOC120101378,LOC120101378,symbol
Hax1,Hax1,symbol
Ubap2l,Ubap2l,symbol
Ns5atp4,Ns5atp4,symbol
Cfap141,Cfap141,symbol
Mir190b,Mir190b,symbol
Tpm3,Tpm3,symbol
Nup210l,Nup210l,symbol
Rnu6-278,Rnu6-278,symbol
Rps27,Rps27,symbol
Rab13,Rab13,symbol
Jtb,Jtb,symbol
Creb3l4,Creb3l4,symbol
Slc39a1,Slc39a1,symbol
Dennd4b,Dennd4b,symbol
Crtc2,Crtc2,symbol
Gatad2b,Gatad2b,symbol
ENSRNOG00000065873,,ensembl
ENSRNOG00000065683,,ensembl
Slc27a3,Slc27a3,symbol
Ints3,Ints3,symbol
ENSRNOG00000063260,Ostcl1,ensembl
Npr1,Npr1,symbol
Ilf2,Ilf2,symbol
Snapin,Snapin,symbol
Chtop,Chtop,symbol
S100a1,S100a1,symbol
S100a14,S100a14,symbol
S100a16,S100a16,symbol
LOC120101183,LOC120101183,symbol
S100a3,S100a3,symbol
Rnu1-56,Rnu1-56,symbol
S100a4,S100a4,symbol
S100a5,S100a5,symbol
S100a6,S100a6,symbol
ENSRNOG00000069186,,ensembl
S100a7a,S100a7a,symbol
S100a8,S100a8,symbol
ENSRNOG00000071162,,ensembl
S100a9,S100a9,symbol
Pglyrp4,Pglyrp4,symbol
LOC120101258,LOC120101258,symbol
S100a7l2,S100a7l2,symbol
S100a7l2,S100a7l2,symbol
S100vp,S100vp,symbol
Pglyrp3,Pglyrp3,symbol
Pglyrp3,Pglyrp3,symbol
Loricrin,Loricrin,symbol
Prr9,Prr9,symbol
ENSRNOG00000065510,,ensembl
ENSRNOG00000064131,,ensembl
Sprr2a2,Sprr2a2,symbol
LOC102552940,LOC102552940,symbol
LOC120100584,LOC120100584,symbol
Sprr2b,Sprr2b,symbol
Sprr2d,Sprr2d,symbol
Sprr2g,Sprr2g,symbol
ENSRNOG00000067816,Sprr2a,ensembl
Sprr2g,Sprr2g,symbol
ENSRNOG00000070330,,ensembl
Sprr2f,Sprr2f,symbol
LOC102550257,LOC102550257,symbol
Sprr1b,Sprr1b,symbol
Sprr3,Sprr3,symbol
Sprr1a,Sprr1a,symbol
Sprr4,Sprr4,symbol
LOC108350276,LOC108350276,symbol
Ivl,Ivl,symbol
Smcp,Smcp,symbol
2210017I01Rik,2210017I01Rik,symbol
Lce6a,Lce6a,symbol
LOC120100586,LOC120100586,symbol
LOC103695131,LOC103695131,symbol
LOC120100587,LOC120100587,symbol
LOC102552326,LOC102552326,symbol
ENSRNOG00000068776,,ensembl
Lce1g,Lce1g,symbol
Lce1f,Lce1f,symbol
LOC102552128,LOC102552128,symbol
LOC103691629,LOC103691629,symbol
ENSRNOG00000063139,,ensembl
LOC102549828,LOC102549828,symbol
LOC102551936,LOC102551936,symbol
ENSRNOG00000064164,LOC134485794,ensembl
Kprp,Kprp,symbol
Lce1e,Lce1e,symbol
LOC686143,LOC686143,symbol
ENSRNOG00000065410,,ensembl
ENSRNOG00000066407,LOC134485747,ensembl
Lce3d,Lce3d,symbol
LOC120101188,LOC120101188,symbol
LOC120100588,LOC120100588,symbol
Lce3e,Lce3e,symbol
LOC120101192,LOC120101192,symbol
LOC100911982,LOC100911982,symbol
LOC120100589,LOC120100589,symbol
Lce3fl1,Lce3fl1,symbol
Crct1,Crct1,symbol
Lce1m,Lce1m,symbol
ENSRNOG00000065518,,ensembl
Crnn,Crnn,symbol
ENSRNOG00000064129,,ensembl
ENSRNOG00000069536,,ensembl
AABR07012329.1,AABR07012329.1,symbol
ENSRNOG00000066302,,ensembl
ENSRNOG00000064990,,ensembl
ENSRNOG00000070484,,ensembl
ENSRNOG00000065693,,ensembl
ENSRNOG00000063052,,ensembl
ENSRNOG00000068872,,ensembl
ENSRNOG00000070658,,ensembl
ENSRNOG00000064486,,ensembl
Rptn,Rptn,symbol
Tchh,Tchh,symbol
Tchh,Tchh,symbol
Tchhl1,Tchhl1,symbol
ENSRNOG00000065314,,ensembl
S100a11,S100a11,symbol
S100a10,S100a10,symbol
Tdpoz1-ps4,Tdpoz1-ps4,symbol
RGD1566337,RGD1566337,symbol
LOC100911679,LOC100911679,symbol
RGD1564313,RGD1564313,symbol
Tdpoz2l1,Tdpoz2l1,symbol
Tdpoz1-ps4,Tdpoz1-ps4,symbol
ENSRNOG00000069382,,ensembl
ENSRNOG00000065793,,ensembl
AABR07012426.1,AABR07012426.1,symbol
ENSRNOG00000062522,,ensembl
Tdpoz1-ps17,Tdpoz1-ps17,symbol
LOC120100595,LOC120100595,symbol
ENSRNOG00000064586,,ensembl
Tdpoz1-ps13,Tdpoz1-ps13,symbol
Tdpoz1-ps14,Tdpoz1-ps14,symbol
LOC120101040,LOC120101040,symbol
LOC120101042,LOC120101042,symbol
LOC120101043,LOC120101043,symbol
Tdpoz1-ps9,Tdpoz1-ps9,symbol
Tdpoz2,Tdpoz2,symbol
LOC102553503,LOC102553503,symbol
LOC120100601,LOC120100601,symbol
LOC120093093,LOC120093093,symbol
Tdpoz1-ps10,Tdpoz1-ps10,symbol
Tdpoz1-ps5,Tdpoz1-ps5,symbol
Spopfm2l1,Spopfm2l1,symbol
RGD1563667,RGD1563667,symbol
Them4,Them4,symbol
Them5,Them5,symbol
C2cd4d,C2cd4d,symbol
Rorc,Rorc,symbol
Lingo4,Lingo4,symbol
Tdrkh,Tdrkh,symbol
Oaz3,Oaz3,symbol
mrpl9,mrpl9,symbol
LOC102556390,LOC102556390,symbol
Riiad1,Riiad1,symbol
Celf3,Celf3,symbol
Snx27,Snx27,symbol
ENSRNOG00000070868,,ensembl
AABR07072761.1,AABR07072761.1,symbol
Tuft1,Tuft1,symbol
Cgn,Cgn,symbol
Ndufs5-ps2,Ndufs5-ps2,symbol
ENSRNOG00000065997,,ensembl
Pogz,Pogz,symbol
Psmb4,Psmb4,symbol
LOC120101375,LOC120101375,symbol
Selenbp1,Selenbp1,symbol
Rfx5,Rfx5,symbol
ENSRNOG00000064998,,ensembl
Pi4kb,Pi4kb,symbol
Zfp687,Zfp687,symbol
ENSRNOG00000067940,,ensembl
Psmd4,Psmd4,symbol
Pip5k1a,Pip5k1a,symbol
Vps72,Vps72,symbol
Tmod4,Tmod4,symbol
Scnm1,Scnm1,symbol
Lysmd1,Lysmd1,symbol
Tnfaip8l2,Tnfaip8l2,symbol
ENSRNOG00000063006,,ensembl
Sema6c,Sema6c,symbol
ENSRNOG00000062883,,ensembl
Gabpb2,Gabpb2,symbol
ENSRNOG00000071119,,ensembl
Mllt11,Mllt11,symbol
Cdc42se1,Cdc42se1,symbol
ENSRNOG00000065245,,ensembl
C2h1orf56,C2h1orf56,symbol
Bnipl,Bnipl,symbol
Prune1,Prune1,symbol
Mindy1,Mindy1,symbol
Anxa9,Anxa9,symbol
Cers2,Cers2,symbol
Setdb1,Setdb1,symbol
LOC120101149,LOC120101149,symbol
LOC102550012,LOC102550012,symbol
ENSRNOG00000066745,,ensembl
ENSRNOG00000069295,,ensembl
Arnt,Arnt,symbol
Ctsk,Ctsk,symbol
Ctss,Ctss,symbol
Hormad1,Hormad1,symbol
Golph3l,Golph3l,symbol
Rnu6-857,Rnu6-857,symbol
Ensa,Ensa,symbol
Mcl1,Mcl1,symbol
ENSRNOG00000063406,,ensembl
Adamtsl4,Adamtsl4,symbol
Ecm1,Ecm1,symbol
Tars2,Tars2,symbol
Rprd2,Rprd2,symbol
ENSRNOG00000067384,,ensembl
Prpf3,Prpf3,symbol
Mrps21,Mrps21,symbol
ENSRNOG00000063097,,ensembl
Ciart,Ciart,symbol
C2H1orf54,C2H1orf54,symbol
ENSRNOG00000062848,,ensembl
Aph1a,Aph1a,symbol
Car14,Car14,symbol
LOC120101278,LOC120101278,symbol
Anp32e,Anp32e,symbol
RGD1562196,RGD1562196,symbol
Plekho1,Plekho1,symbol
Vps45,Vps45,symbol
Otud7b,Otud7b,symbol
Mtmr11,Mtmr11,symbol
Sf3b4,Sf3b4,symbol
Sv2a,Sv2a,symbol
Bola1,Bola1,symbol
ENSRNOG00000062927,,ensembl
LOC102549173,LOC102549173,symbol
LOC102549173,LOC102549173,symbol
Hist1h4b,Hist1h4b,symbol
Hist2h3c2,Hist2h3c2,symbol
H2bc18,H2bc18,symbol
